"Medal","Year","NOC","count"
"Gold",1904,"ZZX",3
"Gold",1908,"ANZ",15
"Gold",1908,"BEL",1
"Gold",1908,"CAN",17
"Gold",1908,"FIN",1
"Gold",1908,"FRA",9
"Gold",1908,"GBR",144
"Gold",1908,"GER",4
"Gold",1908,"HUN",6
"Gold",1908,"ITA",2
"Gold",1908,"NOR",7
"Gold",1908,"RSA",1
"Gold",1908,"RU1",1
"Gold",1908,"SWE",69
"Gold",1908,"USA",34
"Gold",1912,"ANZ",5
"Gold",1912,"BEL",9
"Gold",1912,"CAN",3
"Gold",1912,"DEN",5
"Gold",1912,"FIN",9
"Gold",1912,"FRA",10
"Gold",1912,"GBR",44
"Gold",1912,"GER",10
"Gold",1912,"GRE",1
"Gold",1912,"HUN",10
"Gold",1912,"ITA",18
"Gold",1912,"NOR",41
"Gold",1912,"RSA",5
"Gold",1912,"SWE",86
"Gold",1912,"USA",45
"Gold",1920,"BEL",57
"Gold",1920,"BRA",1
"Gold",1920,"CAN",10
"Gold",1920,"DEN",30
"Gold",1920,"EST",1
"Gold",1920,"FIN",18
"Gold",1920,"FRA",13
"Gold",1920,"GBR",55
"Gold",1920,"ITA",68
"Gold",1920,"NED",14
"Gold",1920,"NOR",58
"Gold",1920,"RSA",3
"Gold",1920,"SUI",6
"Gold",1920,"SWE",53
"Gold",1920,"USA",110
"Gold",1924,"ARG",6
"Gold",1924,"AUS",3
"Gold",1924,"BEL",3
"Gold",1924,"DEN",2
"Gold",1924,"EST",1
"Gold",1924,"FIN",24
"Gold",1924,"FRA",39
"Gold",1924,"GBR",17
"Gold",1924,"HUN",2
"Gold",1924,"ITA",25
"Gold",1924,"NED",8
"Gold",1924,"NOR",16
"Gold",1924,"RSA",1
"Gold",1924,"SUI",13
"Gold",1924,"SWE",6
"Gold",1924,"TCH",1
"Gold",1924,"URU",22
"Gold",1924,"USA",110
"Gold",1924,"YUG",2
"Gold",1928,"ARG",3
"Gold",1928,"AUS",1
"Gold",1928,"AUT",2
"Gold",1928,"CAN",7
"Gold",1928,"DEN",5
"Gold",1928,"EGY",2
"Gold",1928,"ESP",3
"Gold",1928,"EST",2
"Gold",1928,"FIN",8
"Gold",1928,"FRA",7
"Gold",1928,"GBR",6
"Gold",1928,"GER",20
"Gold",1928,"HUN",9
"Gold",1928,"IND",15
"Gold",1928,"IRL",1
"Gold",1928,"ITA",18
"Gold",1928,"JPN",2
"Gold",1928,"NED",20
"Gold",1928,"NOR",4
"Gold",1928,"NZL",1
"Gold",1928,"POL",1
"Gold",1928,"RSA",1
"Gold",1928,"SUI",16
"Gold",1928,"SWE",7
"Gold",1928,"TCH",2
"Gold",1928,"URU",22
"Gold",1928,"USA",43
"Gold",1928,"YUG",1
"Gold",1932,"ARG",3
"Gold",1932,"AUS",3
"Gold",1932,"AUT",1
"Gold",1932,"CAN",2
"Gold",1932,"FIN",5
"Gold",1932,"FRA",23
"Gold",1932,"GBR",8
"Gold",1932,"GER",7
"Gold",1932,"HUN",20
"Gold",1932,"IND",11
"Gold",1932,"IRL",2
"Gold",1932,"ITA",21
"Gold",1932,"JPN",10
"Gold",1932,"NED",2
"Gold",1932,"POL",2
"Gold",1932,"RSA",2
"Gold",1932,"SWE",12
"Gold",1932,"TCH",1
"Gold",1932,"USA",78
"Gold",1936,"ARG",5
"Gold",1936,"AUT",5
"Gold",1936,"CAN",1
"Gold",1936,"EGY",2
"Gold",1936,"EST",2
"Gold",1936,"FIN",7
"Gold",1936,"FRA",12
"Gold",1936,"GBR",12
"Gold",1936,"GER",88
"Gold",1936,"HUN",25
"Gold",1936,"IND",19
"Gold",1936,"ITA",36
"Gold",1936,"JPN",9
"Gold",1936,"NED",9
"Gold",1936,"NOR",1
"Gold",1936,"NZL",1
"Gold",1936,"SUI",1
"Gold",1936,"SWE",7
"Gold",1936,"TCH",5
"Gold",1936,"TUR",1
"Gold",1936,"USA",51
"Gold",1948,"ARG",3
"Gold",1948,"AUS",2
"Gold",1948,"AUT",1
"Gold",1948,"BEL",4
"Gold",1948,"DEN",7
"Gold",1948,"EGY",2
"Gold",1948,"FIN",15
"Gold",1948,"FRA",25
"Gold",1948,"GBR",6
"Gold",1948,"HUN",15
"Gold",1948,"IND",20
"Gold",1948,"ITA",20
"Gold",1948,"JAM",1
"Gold",1948,"MEX",4
"Gold",1948,"NED",8
"Gold",1948,"NOR",3
"Gold",1948,"PER",1
"Gold",1948,"RSA",2
"Gold",1948,"SUI",5
"Gold",1948,"SWE",29
"Gold",1948,"TCH",14
"Gold",1948,"TUR",6
"Gold",1948,"USA",83
"Gold",1952,"ARG",2
"Gold",1952,"AUS",7
"Gold",1952,"BEL",4
"Gold",1952,"BRA",1
"Gold",1952,"CAN",1
"Gold",1952,"DEN",3
"Gold",1952,"FIN",8
"Gold",1952,"FRA",14
"Gold",1952,"GBR",3
"Gold",1952,"HUN",52
"Gold",1952,"IND",14
"Gold",1952,"ITA",17
"Gold",1952,"JAM",5
"Gold",1952,"JPN",1
"Gold",1952,"LUX",1
"Gold",1952,"NOR",5
"Gold",1952,"NZL",1
"Gold",1952,"POL",1
"Gold",1952,"ROU",1
"Gold",1952,"RSA",2
"Gold",1952,"SUI",2
"Gold",1952,"SWE",23
"Gold",1952,"TCH",11
"Gold",1952,"TUR",2
"Gold",1952,"URS",36
"Gold",1952,"USA",79
"Gold",1952,"YUG",4
"Gold",1956,"AUS",23
"Gold",1956,"BRA",1
"Gold",1956,"BUL",1
"Gold",1956,"CAN",5
"Gold",1956,"DEN",1
"Gold",1956,"EUA",12
"Gold",1956,"FIN",3
"Gold",1956,"FRA",6
"Gold",1956,"GBR",8
"Gold",1956,"HUN",30
"Gold",1956,"IND",17
"Gold",1956,"IRI",2
"Gold",1956,"IRL",1
"Gold",1956,"ITA",25
"Gold",1956,"JPN",4
"Gold",1956,"MEX",1
"Gold",1956,"NOR",1
"Gold",1956,"NZL",3
"Gold",1956,"POL",1
"Gold",1956,"ROU",6
"Gold",1956,"SWE",14
"Gold",1956,"TCH",1
"Gold",1956,"TUR",3
"Gold",1956,"URS",68
"Gold",1956,"USA",61
"Gold",1960,"AUS",10
"Gold",1960,"AUT",1
"Gold",1960,"BUL",1
"Gold",1960,"DEN",2
"Gold",1960,"ETH",1
"Gold",1960,"EUA",34
"Gold",1960,"FIN",1
"Gold",1960,"GBR",2
"Gold",1960,"GRE",3
"Gold",1960,"HUN",13
"Gold",1960,"ITA",36
"Gold",1960,"JPN",9
"Gold",1960,"NOR",2
"Gold",1960,"NZL",2
"Gold",1960,"PAK",13
"Gold",1960,"POL",4
"Gold",1960,"ROU",3
"Gold",1960,"SWE",2
"Gold",1960,"TCH",4
"Gold",1960,"TUR",7
"Gold",1960,"URS",61
"Gold",1960,"USA",68
"Gold",1960,"YUG",16
"Gold",1964,"AUS",8
"Gold",1964,"BAH",2
"Gold",1964,"BEL",2
"Gold",1964,"BUL",3
"Gold",1964,"CAN",2
"Gold",1964,"DEN",7
"Gold",1964,"ETH",1
"Gold",1964,"EUA",22
"Gold",1964,"FIN",3
"Gold",1964,"FRA",1
"Gold",1964,"GBR",4
"Gold",1964,"HUN",42
"Gold",1964,"IND",15
"Gold",1964,"ITA",13
"Gold",1964,"JPN",32
"Gold",1964,"NED",5
"Gold",1964,"NZL",4
"Gold",1964,"POL",10
"Gold",1964,"ROU",2
"Gold",1964,"SUI",1
"Gold",1964,"SWE",3
"Gold",1964,"TCH",5
"Gold",1964,"TUR",2
"Gold",1964,"URS",61
"Gold",1964,"USA",78
"Gold",1964,"YUG",2
"Gold",1968,"AUS",5
"Gold",1968,"BUL",2
"Gold",1968,"CAN",3
"Gold",1968,"DEN",4
"Gold",1968,"ETH",1
"Gold",1968,"FIN",1
"Gold",1968,"FRA",12
"Gold",1968,"FRG",16
"Gold",1968,"GBR",8
"Gold",1968,"GDR",13
"Gold",1968,"HUN",32
"Gold",1968,"IRI",2
"Gold",1968,"ITA",5
"Gold",1968,"JPN",16
"Gold",1968,"KEN",3
"Gold",1968,"MEX",3
"Gold",1968,"NED",6
"Gold",1968,"NOR",4
"Gold",1968,"NZL",5
"Gold",1968,"PAK",13
"Gold",1968,"POL",5
"Gold",1968,"ROU",5
"Gold",1968,"SWE",4
"Gold",1968,"TCH",7
"Gold",1968,"TUN",1
"Gold",1968,"TUR",2
"Gold",1968,"URS",66
"Gold",1968,"USA",83
"Gold",1968,"VEN",1
"Gold",1968,"YUG",13
"Gold",1972,"AUS",11
"Gold",1972,"BUL",6
"Gold",1972,"CUB",3
"Gold",1972,"DEN",1
"Gold",1972,"FIN",3
"Gold",1972,"FRA",2
"Gold",1972,"FRG",43
"Gold",1972,"GBR",8
"Gold",1972,"GDR",30
"Gold",1972,"HUN",10
"Gold",1972,"ITA",9
"Gold",1972,"JPN",29
"Gold",1972,"KEN",5
"Gold",1972,"NED",3
"Gold",1972,"NOR",2
"Gold",1972,"NZL",9
"Gold",1972,"POL",27
"Gold",1972,"PRK",1
"Gold",1972,"ROU",3
"Gold",1972,"SWE",4
"Gold",1972,"TCH",2
"Gold",1972,"UGA",1
"Gold",1972,"URS",107
"Gold",1972,"USA",53
"Gold",1972,"YUG",15
"Gold",1976,"BUL",8
"Gold",1976,"CUB",6
"Gold",1976,"DEN",3
"Gold",1976,"FIN",4
"Gold",1976,"FRA",5
"Gold",1976,"FRG",21
"Gold",1976,"GBR",6
"Gold",1976,"GDR",99
"Gold",1976,"HUN",14
"Gold",1976,"ITA",2
"Gold",1976,"JAM",1
"Gold",1976,"JPN",25
"Gold",1976,"KOR",1
"Gold",1976,"MEX",1
"Gold",1976,"NOR",2
"Gold",1976,"NZL",17
"Gold",1976,"POL",18
"Gold",1976,"PRK",1
"Gold",1976,"ROU",4
"Gold",1976,"SUI",1
"Gold",1976,"SWE",9
"Gold",1976,"TCH",2
"Gold",1976,"TRI",1
"Gold",1976,"URS",113
"Gold",1976,"USA",63
"Gold",1976,"YUG",2
"Gold",1980,"AUS",5
"Gold",1980,"AUT",1
"Gold",1980,"BEL",1
"Gold",1980,"BRA",4
"Gold",1980,"BUL",8
"Gold",1980,"CUB",8
"Gold",1980,"DEN",4
"Gold",1980,"ESP",2
"Gold",1980,"ETH",2
"Gold",1980,"FIN",3
"Gold",1980,"FRA",18
"Gold",1980,"GBR",5
"Gold",1980,"GDR",112
"Gold",1980,"GRE",1
"Gold",1980,"HUN",8
"Gold",1980,"IND",16
"Gold",1980,"ITA",8
"Gold",1980,"POL",3
"Gold",1980,"ROU",7
"Gold",1980,"SUI",2
"Gold",1980,"SWE",3
"Gold",1980,"TCH",18
"Gold",1980,"URS",192
"Gold",1980,"YUG",13
"Gold",1980,"ZIM",16
"Gold",1984,"AUS",7
"Gold",1984,"AUT",1
"Gold",1984,"BEL",1
"Gold",1984,"BRA",1
"Gold",1984,"CAN",19
"Gold",1984,"CHN",26
"Gold",1984,"ESP",2
"Gold",1984,"FIN",4
"Gold",1984,"FRA",21
"Gold",1984,"FRG",31
"Gold",1984,"GBR",9
"Gold",1984,"ITA",29
"Gold",1984,"JPN",10
"Gold",1984,"KEN",1
"Gold",1984,"KOR",6
"Gold",1984,"MAR",2
"Gold",1984,"MEX",2
"Gold",1984,"NED",20
"Gold",1984,"NZL",16
"Gold",1984,"PAK",16
"Gold",1984,"POR",1
"Gold",1984,"ROU",40
"Gold",1984,"SWE",3
"Gold",1984,"USA",168
"Gold",1984,"YUG",47
"Gold",1988,"AUS",18
"Gold",1988,"AUT",1
"Gold",1988,"BRA",1
"Gold",1988,"BUL",10
"Gold",1988,"CAN",4
"Gold",1988,"CHN",6
"Gold",1988,"DEN",3
"Gold",1988,"ESP",1
"Gold",1988,"FIN",1
"Gold",1988,"FRA",12
"Gold",1988,"FRG",32
"Gold",1988,"GBR",22
"Gold",1988,"GDR",75
"Gold",1988,"HUN",20
"Gold",1988,"ITA",11
"Gold",1988,"JPN",4
"Gold",1988,"KEN",5
"Gold",1988,"KOR",28
"Gold",1988,"MAR",1
"Gold",1988,"NED",3
"Gold",1988,"NOR",2
"Gold",1988,"NZL",4
"Gold",1988,"POL",2
"Gold",1988,"POR",1
"Gold",1988,"ROU",8
"Gold",1988,"SUR",1
"Gold",1988,"TCH",3
"Gold",1988,"TUR",1
"Gold",1988,"URS",134
"Gold",1988,"USA",77
"Gold",1988,"YUG",15
"Gold",1992,"ALG",1
"Gold",1992,"AUS",14
"Gold",1992,"BRA",13
"Gold",1992,"BUL",3
"Gold",1992,"CAN",27
"Gold",1992,"CHN",18
"Gold",1992,"CUB",44
"Gold",1992,"DEN",3
"Gold",1992,"ESP",44
"Gold",1992,"EST",1
"Gold",1992,"ETH",1
"Gold",1992,"EUN",92
"Gold",1992,"FIN",1
"Gold",1992,"FRA",9
"Gold",1992,"GBR",8
"Gold",1992,"GER",81
"Gold",1992,"GRE",2
"Gold",1992,"HUN",14
"Gold",1992,"INA",2
"Gold",1992,"IRL",1
"Gold",1992,"ITA",22
"Gold",1992,"JPN",3
"Gold",1992,"KEN",2
"Gold",1992,"KOR",28
"Gold",1992,"LTU",1
"Gold",1992,"MAR",1
"Gold",1992,"NED",5
"Gold",1992,"NOR",2
"Gold",1992,"NZL",1
"Gold",1992,"POL",5
"Gold",1992,"PRK",4
"Gold",1992,"ROU",8
"Gold",1992,"SUI",1
"Gold",1992,"SWE",1
"Gold",1992,"TCH",4
"Gold",1992,"TUR",2
"Gold",1992,"USA",89
"Gold",1996,"ALG",2
"Gold",1996,"ARM",1
"Gold",1996,"AUS",32
"Gold",1996,"BDI",1
"Gold",1996,"BEL",2
"Gold",1996,"BLR",1
"Gold",1996,"BRA",5
"Gold",1996,"BUL",3
"Gold",1996,"CAN",8
"Gold",1996,"CHN",19
"Gold",1996,"CRC",1
"Gold",1996,"CRO",16
"Gold",1996,"CUB",39
"Gold",1996,"CZE",4
"Gold",1996,"DEN",22
"Gold",1996,"ECU",1
"Gold",1996,"ESP",24
"Gold",1996,"ETH",2
"Gold",1996,"FIN",1
"Gold",1996,"FRA",21
"Gold",1996,"GBR",2
"Gold",1996,"GER",42
"Gold",1996,"GRE",4
"Gold",1996,"HKG",1
"Gold",1996,"HUN",8
"Gold",1996,"INA",2
"Gold",1996,"IRI",1
"Gold",1996,"IRL",3
"Gold",1996,"ITA",19
"Gold",1996,"JAM",1
"Gold",1996,"JPN",3
"Gold",1996,"KAZ",3
"Gold",1996,"KEN",1
"Gold",1996,"KOR",10
"Gold",1996,"NED",38
"Gold",1996,"NGR",19
"Gold",1996,"NOR",2
"Gold",1996,"NZL",3
"Gold",1996,"POL",7
"Gold",1996,"POR",1
"Gold",1996,"PRK",2
"Gold",1996,"ROU",13
"Gold",1996,"RSA",3
"Gold",1996,"RUS",36
"Gold",1996,"SUI",5
"Gold",1996,"SVK",1
"Gold",1996,"SWE",3
"Gold",1996,"SYR",1
"Gold",1996,"THA",1
"Gold",1996,"TUR",4
"Gold",1996,"UKR",10
"Gold",1996,"USA",160
"Gold",1996,"YUG",1
"Gold",2000,"ALG",1
"Gold",2000,"AUS",60
"Gold",2000,"AUT",3
"Gold",2000,"AZE",2
"Gold",2000,"BAH",6
"Gold",2000,"BLR",3
"Gold",2000,"BUL",5
"Gold",2000,"CAN",4
"Gold",2000,"CHN",39
"Gold",2000,"CMR",18
"Gold",2000,"COL",1
"Gold",2000,"CRO",1
"Gold",2000,"CUB",22
"Gold",2000,"CZE",2
"Gold",2000,"DEN",18
"Gold",2000,"ESP",3
"Gold",2000,"EST",1
"Gold",2000,"ETH",4
"Gold",2000,"FIN",3
"Gold",2000,"FRA",22
"Gold",2000,"GBR",22
"Gold",2000,"GER",31
"Gold",2000,"GRE",4
"Gold",2000,"HUN",25
"Gold",2000,"INA",2
"Gold",2000,"IRI",3
"Gold",2000,"ITA",22
"Gold",2000,"JPN",5
"Gold",2000,"KAZ",3
"Gold",2000,"KEN",2
"Gold",2000,"KOR",12
"Gold",2000,"LAT",1
"Gold",2000,"LTU",2
"Gold",2000,"MEX",1
"Gold",2000,"MOZ",1
"Gold",2000,"NED",27
"Gold",2000,"NOR",21
"Gold",2000,"NZL",1
"Gold",2000,"POL",7
"Gold",2000,"ROU",27
"Gold",2000,"RUS",66
"Gold",2000,"SLO",3
"Gold",2000,"SUI",1
"Gold",2000,"SVK",2
"Gold",2000,"SWE",4
"Gold",2000,"THA",1
"Gold",2000,"TUR",3
"Gold",2000,"UKR",3
"Gold",2000,"USA",130
"Gold",2000,"UZB",1
"Gold",2000,"YUG",12
"Gold",2004,"ARG",26
"Gold",2004,"AUS",49
"Gold",2004,"AUT",3
"Gold",2004,"AZE",1
"Gold",2004,"BAH",1
"Gold",2004,"BEL",1
"Gold",2004,"BLR",2
"Gold",2004,"BRA",18
"Gold",2004,"BUL",2
"Gold",2004,"CAN",3
"Gold",2004,"CHI",3
"Gold",2004,"CHN",52
"Gold",2004,"CMR",1
"Gold",2004,"CRO",14
"Gold",2004,"CUB",31
"Gold",2004,"CZE",1
"Gold",2004,"DEN",19
"Gold",2004,"DOM",1
"Gold",2004,"EGY",1
"Gold",2004,"ESP",4
"Gold",2004,"ETH",2
"Gold",2004,"FRA",21
"Gold",2004,"GBR",17
"Gold",2004,"GEO",2
"Gold",2004,"GER",41
"Gold",2004,"GRE",8
"Gold",2004,"HUN",24
"Gold",2004,"INA",1
"Gold",2004,"IRI",2
"Gold",2004,"ISR",1
"Gold",2004,"ITA",24
"Gold",2004,"JAM",6
"Gold",2004,"JPN",21
"Gold",2004,"KAZ",1
"Gold",2004,"KEN",1
"Gold",2004,"KOR",14
"Gold",2004,"LTU",1
"Gold",2004,"MAR",2
"Gold",2004,"NED",4
"Gold",2004,"NOR",5
"Gold",2004,"NZL",4
"Gold",2004,"POL",4
"Gold",2004,"ROU",23
"Gold",2004,"RSA",4
"Gold",2004,"RUS",47
"Gold",2004,"SUI",1
"Gold",2004,"SVK",3
"Gold",2004,"SWE",5
"Gold",2004,"THA",3
"Gold",2004,"TPE",2
"Gold",2004,"TUR",3
"Gold",2004,"UAE",1
"Gold",2004,"UKR",9
"Gold",2004,"USA",116
"Gold",2004,"UZB",2
"Gold",2004,"ZIM",1
"Gold",2008,"ARG",20
"Gold",2008,"AUS",31
"Gold",2008,"AZE",1
"Gold",2008,"BEL",1
"Gold",2008,"BLR",8
"Gold",2008,"BRA",14
"Gold",2008,"BUL",1
"Gold",2008,"CAN",11
"Gold",2008,"CHN",74
"Gold",2008,"CMR",1
"Gold",2008,"CUB",2
"Gold",2008,"CZE",3
"Gold",2008,"DEN",6
"Gold",2008,"DOM",1
"Gold",2008,"ESP",7
"Gold",2008,"EST",1
"Gold",2008,"ETH",4
"Gold",2008,"FIN",1
"Gold",2008,"FRA",25
"Gold",2008,"GBR",31
"Gold",2008,"GEO",3
"Gold",2008,"GER",42
"Gold",2008,"HUN",16
"Gold",2008,"INA",2
"Gold",2008,"IND",1
"Gold",2008,"IRI",1
"Gold",2008,"ITA",8
"Gold",2008,"JAM",9
"Gold",2008,"JPN",23
"Gold",2008,"KAZ",2
"Gold",2008,"KEN",6
"Gold",2008,"KOR",41
"Gold",2008,"LAT",1
"Gold",2008,"MEX",2
"Gold",2008,"MGL",2
"Gold",2008,"NED",40
"Gold",2008,"NOR",16
"Gold",2008,"NZL",4
"Gold",2008,"PAN",1
"Gold",2008,"POL",6
"Gold",2008,"POR",1
"Gold",2008,"PRK",2
"Gold",2008,"ROU",5
"Gold",2008,"RUS",43
"Gold",2008,"SLO",1
"Gold",2008,"SUI",3
"Gold",2008,"SVK",4
"Gold",2008,"THA",2
"Gold",2008,"TUN",1
"Gold",2008,"TUR",1
"Gold",2008,"UKR",10
"Gold",2008,"USA",125
"Gold",2008,"UZB",1
"Gold",2008,"ZIM",1
"Silver",1896,"AUT",1
"Silver",1896,"DEN",2
"Silver",1896,"FRA",4
"Silver",1896,"GBR",3
"Silver",1896,"GER",5
"Silver",1896,"GRE",20
"Silver",1896,"HUN",1
"Silver",1896,"SUI",2
"Silver",1896,"USA",7
"Silver",1896,"ZZX",2
"Silver",1900,"AUT",3
"Silver",1900,"BEL",19
"Silver",1900,"BOH",1
"Silver",1900,"CUB",1
"Silver",1900,"DEN",3
"Silver",1900,"FRA",86
"Silver",1900,"GBR",20
"Silver",1900,"GER",19
"Silver",1900,"HUN",2
"Silver",1900,"IND",2
"Silver",1900,"ITA",2
"Silver",1900,"NED",5
"Silver",1900,"NOR",6
"Silver",1900,"SUI",1
"Silver",1900,"USA",14
"Silver",1900,"ZZX",8
"Silver",1904,"CAN",9
"Silver",1904,"CUB",2
"Silver",1904,"GBR",1
"Silver",1904,"GER",4
"Silver",1904,"HUN",1
"Silver",1904,"USA",137
"Silver",1904,"ZZX",5
"Silver",1908,"ANZ",2
"Silver",1908,"BEL",24
"Silver",1908,"CAN",8
"Silver",1908,"DEN",12
"Silver",1908,"FIN",1
"Silver",1908,"FRA",5
"Silver",1908,"GBR",135
"Silver",1908,"GER",11
"Silver",1908,"GRE",3
"Silver",1908,"HUN",7
"Silver",1908,"ITA",5
"Silver",1908,"NOR",34
"Silver",1908,"RSA",1
"Silver",1908,"RU1",2
"Silver",1908,"SWE",18
"Silver",1908,"USA",14
"Silver",1912,"ANZ",2
"Silver",1912,"AUT",9
"Silver",1912,"BEL",1
"Silver",1912,"CAN",2
"Silver",1912,"DEN",45
"Silver",1912,"FIN",36
"Silver",1912,"FRA",10
"Silver",1912,"GBR",58
"Silver",1912,"GER",19
"Silver",1912,"HUN",17
"Silver",1912,"ITA",1
"Silver",1912,"NOR",6
"Silver",1912,"RSA",2
"Silver",1912,"RU1",5
"Silver",1912,"SWE",62
"Silver",1912,"USA",25
"Silver",1920,"AUS",5
"Silver",1920,"BEL",66
"Silver",1920,"BRA",1
"Silver",1920,"CAN",3
"Silver",1920,"DEN",44
"Silver",1920,"ESP",24
"Silver",1920,"EST",2
"Silver",1920,"FIN",14
"Silver",1920,"FRA",73
"Silver",1920,"GBR",35
"Silver",1920,"GRE",5
"Silver",1920,"ITA",9
"Silver",1920,"JPN",3
"Silver",1920,"LUX",1
"Silver",1920,"NED",10
"Silver",1920,"NOR",56
"Silver",1920,"RSA",12
"Silver",1920,"SUI",2
"Silver",1920,"SWE",36
"Silver",1920,"USA",45
"Silver",1924,"ARG",3
"Silver",1924,"AUS",5
"Silver",1924,"AUT",3
"Silver",1924,"BEL",29
"Silver",1924,"CAN",19
"Silver",1924,"DEN",8
"Silver",1924,"EST",1
"Silver",1924,"FIN",13
"Silver",1924,"FRA",63
"Silver",1924,"GBR",29
"Silver",1924,"HUN",10
"Silver",1924,"ITA",5
"Silver",1924,"NED",1
"Silver",1924,"NOR",7
"Silver",1924,"POL",4
"Silver",1924,"RSA",1
"Silver",1924,"SUI",31
"Silver",1924,"SWE",25
"Silver",1924,"TCH",4
"Silver",1924,"USA",37
"Silver",1928,"ARG",24
"Silver",1928,"AUS",2
"Silver",1928,"BEL",1
"Silver",1928,"CAN",5
"Silver",1928,"CHI",1
"Silver",1928,"DEN",5
"Silver",1928,"EGY",1
"Silver",1928,"EST",1
"Silver",1928,"FIN",8
"Silver",1928,"FRA",16
"Silver",1928,"GBR",25
"Silver",1928,"GER",13
"Silver",1928,"HAI",1
"Silver",1928,"HUN",11
"Silver",1928,"ITA",21
"Silver",1928,"JPN",5
"Silver",1928,"NED",39
"Silver",1928,"NOR",4
"Silver",1928,"POL",3
"Silver",1928,"SUI",8
"Silver",1928,"SWE",8
"Silver",1928,"TCH",12
"Silver",1928,"USA",24
"Silver",1928,"YUG",1
"Silver",1932,"ARG",1
"Silver",1932,"AUS",1
"Silver",1932,"AUT",1
"Silver",1932,"CAN",13
"Silver",1932,"DEN",5
"Silver",1932,"FIN",8
"Silver",1932,"FRA",8
"Silver",1932,"GBR",12
"Silver",1932,"GER",26
"Silver",1932,"HUN",4
"Silver",1932,"ITA",38
"Silver",1932,"JPN",17
"Silver",1932,"LAT",1
"Silver",1932,"MEX",2
"Silver",1932,"NED",10
"Silver",1932,"NZL",2
"Silver",1932,"POL",3
"Silver",1932,"SUI",1
"Silver",1932,"SWE",7
"Silver",1932,"TCH",2
"Silver",1932,"USA",44
"Silver",1936,"ARG",2
"Silver",1936,"AUT",41
"Silver",1936,"CAN",12
"Silver",1936,"DEN",3
"Silver",1936,"EGY",1
"Silver",1936,"EST",2
"Silver",1936,"FIN",6
"Silver",1936,"FRA",13
"Silver",1936,"GBR",16
"Silver",1936,"GER",63
"Silver",1936,"HUN",1
"Silver",1936,"ITA",30
"Silver",1936,"JPN",4
"Silver",1936,"LAT",1
"Silver",1936,"NED",7
"Silver",1936,"NOR",12
"Silver",1936,"POL",5
"Silver",1936,"ROU",2
"Silver",1936,"RSA",1
"Silver",1936,"SUI",22
"Silver",1936,"SWE",11
"Silver",1936,"TCH",12
"Silver",1936,"USA",26
"Silver",1936,"YUG",1
"Silver",1948,"ARG",8
"Silver",1948,"AUS",9
"Silver",1948,"BEL",2
"Silver",1948,"CAN",1
"Silver",1948,"CUB",2
"Silver",1948,"DEN",15
"Silver",1948,"EGY",2
"Silver",1948,"ESP",3
"Silver",1948,"FIN",7
"Silver",1948,"FRA",22
"Silver",1948,"GBR",39
"Silver",1948,"HUN",24
"Silver",1948,"ITA",31
"Silver",1948,"JAM",2
"Silver",1948,"MEX",1
"Silver",1948,"NED",2
"Silver",1948,"NOR",4
"Silver",1948,"POR",2
"Silver",1948,"RSA",1
"Silver",1948,"SRI",1
"Silver",1948,"SUI",22
"Silver",1948,"SWE",15
"Silver",1948,"TCH",3
"Silver",1948,"TRI",1
"Silver",1948,"TUR",4
"Silver",1948,"URU",1
"Silver",1948,"USA",30
"Silver",1948,"YUG",16
"Silver",1952,"ARG",2
"Silver",1952,"AUS",2
"Silver",1952,"AUT",1
"Silver",1952,"BEL",3
"Silver",1952,"CAN",3
"Silver",1952,"CHI",4
"Silver",1952,"DEN",1
"Silver",1952,"ESP",1
"Silver",1952,"FIN",3
"Silver",1952,"FRA",9
"Silver",1952,"GBR",2
"Silver",1952,"GER",14
"Silver",1952,"HUN",17
"Silver",1952,"IRI",3
"Silver",1952,"IRL",1
"Silver",1952,"ITA",21
"Silver",1952,"JAM",3
"Silver",1952,"JPN",9
"Silver",1952,"LIB",1
"Silver",1952,"MEX",1
"Silver",1952,"NED",18
"Silver",1952,"NOR",8
"Silver",1952,"POL",2
"Silver",1952,"ROU",1
"Silver",1952,"RSA",8
"Silver",1952,"SUI",19
"Silver",1952,"SWE",24
"Silver",1952,"TCH",4
"Silver",1952,"URS",62
"Silver",1952,"USA",23
"Silver",1952,"YUG",20
"Silver",1956,"ARG",1
"Silver",1956,"AUS",12
"Silver",1956,"BEL",2
"Silver",1956,"BUL",3
"Silver",1956,"CAN",9
"Silver",1956,"CHI",2
"Silver",1956,"DEN",5
"Silver",1956,"EUA",23
"Silver",1956,"FIN",1
"Silver",1956,"FRA",13
"Silver",1956,"GBR",15
"Silver",1956,"HUN",20
"Silver",1956,"IRI",2
"Silver",1956,"IRL",1
"Silver",1956,"ISL",1
"Silver",1956,"ITA",11
"Silver",1956,"JPN",15
"Silver",1956,"KOR",1
"Silver",1956,"PAK",14
"Silver",1956,"POL",9
"Silver",1956,"ROU",3
"Silver",1956,"SWE",14
"Silver",1956,"TCH",5
"Silver",1956,"TUR",2
"Silver",1956,"URS",46
"Silver",1956,"USA",37
"Silver",1956,"YUG",23
"Silver",1960,"ARG",3
"Silver",1960,"AUS",17
"Silver",1960,"AUT",2
"Silver",1960,"BEL",2
"Silver",1960,"BUL",3
"Silver",1960,"CAN",9
"Silver",1960,"DEN",17
"Silver",1960,"EGY",1
"Silver",1960,"EUA",33
"Silver",1960,"FIN",1
"Silver",1960,"FRA",6
"Silver",1960,"GBR",11
