"Year","NOC","Bronze","Gold","Silver"
1972,"KOR",0,0,1
1972,"LIB",0,0,1
1972,"MEX",0,0,1
1972,"MGL",0,0,1
1972,"PAK",0,0,15
1972,"SUI",0,0,8
1972,"TUN",0,0,1
1972,"TUR",0,0,1
1976,"ESP",0,0,6
1976,"MGL",0,0,1
1976,"POR",0,0,2
1976,"VEN",0,0,1
1980,"TAN",0,0,2
1980,"UGA",0,0,1
1980,"VEN",0,0,1
1984,"CIV",0,0,1
1984,"COL",0,0,1
1984,"EGY",0,0,1
1984,"IRL",0,0,1
1984,"PER",0,0,1
1984,"SYR",0,0,1
1984,"THA",0,0,1
1988,"AHO",0,0,1
1988,"CHI",0,0,1
1988,"CRC",0,0,1
1988,"INA",0,0,3
1988,"IRI",0,0,1
1988,"ISV",0,0,1
1988,"JAM",0,0,5
1988,"PER",0,0,12
1988,"SEN",0,0,1
1992,"AUT",0,0,6
1992,"MEX",0,0,1
1992,"NAM",0,0,2
1992,"PER",0,0,1
1992,"RSA",0,0,3
1992,"TPE",0,0,20
1996,"AZE",0,0,1
1996,"BAH",0,0,5
1996,"LAT",0,0,1
1996,"NAM",0,0,2
1996,"PHI",0,0,1
1996,"SLO",0,0,2
1996,"TGA",0,0,1
1996,"TPE",0,0,1
1996,"ZAM",0,0,1
2000,"IRL",0,0,1
2000,"NGR",0,0,8
2000,"SRI",0,0,1
2000,"URU",0,0,1
2000,"VIE",0,0,1
2004,"FIN",0,0,2
2004,"HKG",0,0,2
2004,"IND",0,0,1
2004,"LAT",0,0,4
2004,"PAR",0,0,17
2004,"SCG",0,0,14
2008,"CHI",0,0,1
2008,"ECU",0,0,1
2008,"ISL",0,0,14
2008,"MAS",0,0,1
2008,"RSA",0,0,1
2008,"SIN",0,0,3
2008,"SUD",0,0,1
2008,"TRI",0,0,5
2008,"VIE",0,0,1
